"hours_studied","extracurricular_activities","sleep_hours","physical_activity","exam_score"
16,"No",6,3,68
19,"No",7,3,68
24,"Yes",7,4,69
26,"No",8,3,69
25,"No",5,4,71
18,"Yes",9,4,68
24,"Yes",6,1,70
20,"No",8,3,71
22,"Yes",8,3,71
21,"Yes",7,1,70
31,"No",6,4,70
21,"No",7,3,69
23,"Yes",8,3,72
23,"No",6,3,68
26,"Yes",7,3,72
37,"Yes",8,3,76
17,"No",8,4,68
21,"Yes",8,4,69
15,"Yes",7,1,72
25,"Yes",8,2,68
16,"Yes",8,3,71
18,"Yes",10,4,71
15,"Yes",8,2,69
25,"No",6,3,70
21,"No",6,3,70
25,"No",5,2,70
19,"Yes",7,4,69
22,"Yes",9,3,71
19,"No",5,3,69
22,"No",9,2,73
26,"Yes",6,2,70
27,"Yes",7,2,70
21,"Yes",7,4,71
21,"No",10,3,71
24,"Yes",7,2,84
27,"Yes",6,2,68
19,"Yes",6,1,70
17,"No",8,3,68
24,"Yes",6,4,69
11,"Yes",6,1,68
29,"Yes",6,4,72
20,"Yes",10,4,68
14,"Yes",5,2,68
24,"Yes",6,2,69
20,"No",7,4,68
24,"No",7,3,73
19,"No",7,4,69
18,"Yes",9,2,68
27,"Yes",6,2,69
24,"No",7,2,70
24,"Yes",7,2,71
23,"No",8,3,70
20,"No",8,3,68
24,"Yes",8,2,73
24,"No",8,2,68
29,"Yes",8,2,69
21,"No",6,3,70
20,"No",9,2,70
21,"Yes",9,3,70
29,"No",7,4,70
30,"No",6,2,72
20,"No",6,2,69
21,"Yes",9,2,72
12,"Yes",7,2,68
18,"Yes",7,1,72
18,"Yes",8,3,73
23,"Yes",7,2,68
27,"Yes",9,2,72
29,"Yes",7,3,71
12,"Yes",10,2,68
23,"No",8,3,70
20,"Yes",7,2,72
21,"Yes",9,5,68
33,"No",9,3,70
10,"Yes",7,3,70
32,"Yes",5,5,76
19,"No",7,3,69
18,"Yes",7,3,68
28,"Yes",9,3,69
29,"Yes",9,4,73
11,"Yes",7,3,71
18,"No",9,3,70
24,"Yes",8,1,73
23,"Yes",5,3,73
32,"Yes",5,3,70
23,"Yes",8,5,68
20,"No",7,2,70
16,"Yes",4,3,72
31,"Yes",6,3,74
24,"Yes",9,2,71
14,"No",6,3,68
23,"No",6,3,69
29,"No",5,3,74
22,"Yes",6,3,71
25,"Yes",6,3,69
17,"No",6,3,69
17,"Yes",8,4,70
20,"Yes",8,3,71
33,"Yes",9,6,73
19,"Yes",8,2,70
19,"Yes",6,3,69
28,"Yes",8,3,68
29,"No",7,3,74
16,"Yes",5,3,68
25,"Yes",6,4,69
25,"Yes",5,4,71
13,"Yes",8,4,71
24,"Yes",10,4,72
20,"Yes",10,5,69
24,"Yes",6,4,68
21,"Yes",7,2,69
32,"Yes",5,3,70
21,"Yes",9,1,72
15,"Yes",9,3,69
12,"Yes",6,3,69
19,"No",7,4,71
29,"No",4,2,70
20,"Yes",9,3,71
22,"Yes",8,3,69
25,"No",9,3,69
17,"Yes",7,3,70
21,"No",7,3,70
23,"No",7,4,74
22,"Yes",6,3,69
27,"Yes",7,2,73
27,"No",8,2,76
22,"Yes",9,4,68
16,"Yes",6,3,69
10,"Yes",7,1,68
27,"Yes",5,4,68
23,"No",10,2,72
25,"No",8,3,69
29,"No",7,3,69
30,"Yes",6,2,72
26,"Yes",6,3,70
21,"No",9,4,91
24,"No",9,2,72
26,"No",7,3,69
18,"Yes",7,4,70
22,"No",4,3,68
32,"Yes",9,4,75
39,"No",9,4,75
24,"No",4,3,72
23,"No",10,4,71
25,"No",7,5,70
31,"Yes",6,3,72
23,"Yes",7,2,71
23,"Yes",7,3,69
25,"Yes",8,3,71
16,"Yes",10,4,68
23,"No",9,3,68
23,"No",7,4,71
30,"No",10,6,74
20,"No",6,4,70
25,"Yes",7,3,69
18,"Yes",5,4,71
18,"No",7,1,69
25,"No",5,1,68
23,"Yes",7,4,68
23,"Yes",8,4,68
23,"Yes",4,4,71
23,"Yes",5,1,68
17,"Yes",10,4,71
24,"Yes",7,4,68
24,"Yes",9,4,70
24,"Yes",6,4,70
27,"Yes",7,2,70
22,"No",8,0,71
18,"No",7,4,70
21,"No",7,4,70
12,"Yes",7,3,68
27,"Yes",8,4,72
29,"Yes",7,3,68
27,"Yes",7,4,74
21,"Yes",7,3,71
27,"Yes",10,3,71
29,"Yes",9,4,72
22,"Yes",5,3,69
14,"Yes",7,3,69
22,"Yes",7,4,69
20,"Yes",7,3,68
14,"Yes",7,4,69
25,"No",5,4,71
16,"No",7,4,68
19,"Yes",6,2,69
20,"No",7,4,68
30,"Yes",8,2,69
28,"No",8,3,72
25,"Yes",8,4,68
25,"Yes",8,3,72
29,"No",7,3,76
26,"Yes",8,4,73
22,"Yes",8,3,69
22,"Yes",7,3,69
26,"Yes",6,4,72
27,"No",9,2,86
20,"No",7,3,69
11,"Yes",7,3,68
23,"Yes",4,3,99
23,"Yes",7,3,70
20,"Yes",5,3,68
20,"Yes",8,2,72
21,"Yes",6,3,68
19,"Yes",8,3,68
25,"Yes",7,1,75
30,"No",8,3,68
22,"Yes",4,3,73
19,"No",7,4,71
16,"Yes",6,5,68
15,"Yes",8,1,68
20,"Yes",7,2,68
24,"No",10,2,68
29,"Yes",4,5,74
21,"Yes",4,2,69
23,"No",6,1,70
20,"No",10,4,68
23,"No",7,2,68
13,"Yes",7,3,68
25,"No",9,0,70
24,"No",5,1,70
19,"No",9,3,68
26,"Yes",9,2,74
34,"Yes",7,2,71
24,"Yes",7,3,73
29,"Yes",7,2,71
12,"Yes",9,2,68
30,"No",6,3,71
32,"Yes",6,3,72
18,"No",8,4,68
20,"Yes",7,4,69
29,"Yes",10,4,72
25,"Yes",6,4,70
25,"No",8,3,69
23,"Yes",9,2,69
18,"Yes",8,2,71
38,"No",8,3,69
